                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     61,                0.97689,                0.54529,                  1.129,                0.97161,                 0.9763,                0.98406,                0.70146,                 1.1141,                0.43971,                 1.3546,             0.00026816,             0.00026816,             0.00026816
                     62,                0.99192,                0.54981,                 1.1402,                0.97293,                0.97611,                0.98708,                0.70413,                 1.1274,                0.45745,                 1.3527,             0.00026707,             0.00026707,             0.00026707
                     63,                 0.9818,                0.54577,                 1.1285,                0.97703,                 0.9773,                0.98697,                0.70665,                 1.1098,                0.45009,                  1.349,             0.00026597,             0.00026597,             0.00026597
                     64,                0.96129,                0.53797,                 1.1203,                0.97742,                0.97713,                0.98769,                0.70368,                 1.1142,                0.44461,                 1.3661,             0.00026487,             0.00026487,             0.00026487
                     65,                0.97282,                0.53898,                 1.1277,                0.97409,                0.97945,                0.98618,                0.70754,                 1.1038,                0.44419,                 1.3623,             0.00026377,             0.00026377,             0.00026377
                     66,                0.96368,                0.53486,                 1.1287,                0.97879,                0.97619,                0.98539,                0.71189,                 1.0985,                0.44534,                 1.3427,             0.00026267,             0.00026267,             0.00026267
                     67,                0.96584,                 0.5362,                 1.1262,                0.96263,                 0.9744,                0.98046,                 0.7087,                 1.1094,                0.45049,                 1.3588,             0.00026157,             0.00026157,             0.00026157
                     68,                0.95718,                0.53752,                 1.1152,                 0.9664,                0.97355,                0.98253,                0.70937,                 1.1165,                0.44435,                 1.3619,             0.00026047,             0.00026047,             0.00026047
                     69,                0.95384,                0.52205,                 1.1194,                0.97666,                0.97768,                0.98485,                0.70722,                 1.1072,                0.44761,                 1.3299,             0.00025937,             0.00025937,             0.00025937
                     70,                0.94526,                0.52976,                 1.1137,                0.97327,                0.97537,                0.98071,                0.70487,                 1.1075,                0.44735,                 1.3496,             0.00025827,             0.00025827,             0.00025827
                     71,                0.94027,                0.52787,                 1.1176,                 0.9788,                0.97758,                 0.9856,                0.70609,                 1.1071,                0.43264,                 1.3835,             0.00025718,             0.00025718,             0.00025718
                     72,                0.94147,                0.52111,                 1.1168,                0.97871,                0.98111,                0.98568,                 0.7094,                 1.1132,                 0.4339,                   1.39,             0.00025608,             0.00025608,             0.00025608
                     73,                0.94074,                0.52388,                 1.1091,                0.97497,                0.97958,                0.98573,                0.70273,                 1.1182,                0.44108,                 1.3801,             0.00025498,             0.00025498,             0.00025498
                     74,                0.92371,                0.50965,                 1.1058,                0.97643,                0.97728,                0.98481,                0.71335,                 1.1126,                0.43452,                 1.3879,             0.00025388,             0.00025388,             0.00025388
                     75,                0.93363,                0.51706,                 1.1095,                0.96909,                0.97171,                0.98174,                0.70303,                 1.1332,                0.45069,                  1.373,             0.00025278,             0.00025278,             0.00025278
                     76,                0.91872,                0.50867,                  1.104,                0.97626,                0.98072,                0.98823,                 0.7148,                 1.1133,                0.43272,                 1.3812,             0.00025168,             0.00025168,             0.00025168
                     77,                0.91788,                0.51195,                 1.1019,                 0.9781,                 0.9787,                0.98516,                0.70333,                 1.1137,                0.44647,                 1.3777,             0.00025058,             0.00025058,             0.00025058
                     78,                 0.9254,                0.51915,                 1.1026,                0.97557,                0.98215,                0.98561,                0.71407,                 1.1161,                0.44445,                 1.3656,             0.00024948,             0.00024948,             0.00024948
                     79,                0.90702,                0.50719,                 1.0913,                0.97698,                0.98034,                 0.9863,                0.71223,                 1.1162,                0.44673,                 1.3687,             0.00024838,             0.00024838,             0.00024838
                     80,                0.91851,                0.50713,                 1.0952,                 0.9779,                0.98082,                0.98584,                 0.7067,                 1.1266,                0.43937,                 1.3761,             0.00024729,             0.00024729,             0.00024729
